Dataset,Teacher Std Accuracy,O3 Std Accuracy,Teacher Exact 5/5 %,O3 Exact 5/5 %,T-statistic,P-value,Win Margin Mean,Win Margin Std
Math,0.07752276451608855,0.03591365057919999,0.8235294117647058,0.9215686274509803,-1.8353601663985817,0.07240362106327665,-0.10196078431372552,0.39673174618547064
Chess,0.19923829703294224,0.23009585241604896,0.0,0.11764705882352941,-1.9418988690158387,0.05779396898703692,-0.27450980392156865,1.0095232810103791
Exam,0.158039180118553,0.09506055257491046,0.5294117647058824,0.7254901960784313,-1.9248937327585083,0.059941377635332825,-0.25882352941176473,0.9602450667591552
